id	event_id	match_number	auto_start	preloaded_balls	on_field	outer_auto	lower_auto	inner_auto	baseline	fouls_auto	rating_auto	outer	lower	inner	wheel_rating	balls_collected	fouls	defense_rating	defense_fouls	climb_location	team_id	wheel_score	able_to_push	auto_comment	auto_route	ball_intake_type	dt_fouls	field_timeout_pos	hp_fouls	missed_balls	scouter_name	team_defended	under_defense	yellow_card	cycle_style	defended_by	played_defense	created_at	climbed	comment	missed_balls_auto	yellow_card_descrip	team_ownership_id
50	1510	4	8	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4328	0	0		1	1	0	1	0	1	Noah Daly	-1	0	1	1	0	0	2020-05-25 01:20:39.872948	0		0		4346
51	1510	4	17	3	1	0	0	0	1	0	0	0	0	1	0	0	0	2	1	2	4378	0	1		0	1	0	0	0	0	Julian Ricciuti	2405	0	1	0	0	1	2020-05-25 01:21:23.694643	0		0		4346
52	1510	5	17	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4478	0	0	Didn't move 	0	0	0	0	0	0	Nick Kerstens	-1	0	1	0	0	0	2020-05-25 01:32:36.508990	0	Disabled for the entire match! 	0		4346
53	1510	5	6	3	1	0	0	0	0	0	0	7	0	1	0	0	0	0	0	2	4411	0	0		0	1	0	0	0	6	Julian Ricciuti	-1	0	1	0	0	0	2020-05-25 01:33:01.689252	0		0		4346
54	1510	5	10	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4454	0	1		1	1	0	1	0	0	Aidan OBrien	4618	0	1	0	0	1	2020-05-25 01:33:10.103585	0		0		4346
55	1510	5	12	2	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	4307	0	0		1	1	0	1	0	4	Sean A	-1	2	1	0	0	0	2020-05-25 01:33:42.628896	0		0		4346
56	1510	5	13	3	1	2	0	0	1	0	0	8	0	0	0	0	0	0	0	0	4335	0	0		0	0	0	0	0	0	Noah Daly	-1	0	1	0	0	0	2020-05-25 01:33:48.867862	0	started to loose function towards end of match	0		4346
57	1510	6	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	4320	0	0	moved backward 	1	0	0	1	0	0	Nick Kerstens	5834	0	1	0	0	1	2020-05-25 01:42:21.925931	0	Really herky jerky	0		4346
58	1510	6	15	3	1	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	4453	0	0	moved in circles	1	1	0	0	0	2	Julian Ricciuti	-1	0	1	0	0	0	2020-05-25 01:42:40.728033	0	Parked in endgame	0		4346
59	1510	6	4	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4489	0	0		0	1	0	0	0	3	Sean A	-1	0	1	0	0	0	2020-05-25 01:42:52.180158	0		0		4346
60	1510	6	10	3	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	4295	0	1		1	1	0	0	0	1	Aidan OBrien	6977	0	1	1	0	1	2020-05-25 01:43:01.049250	0		0		4346
61	1510	6	14	3	1	2	0	0	1	0	0	5	0	0	0	0	0	0	0	4	4405	0	0		0	1	0	3	0	0	Noah Daly	-1	0	1	0	0	0	2020-05-25 01:43:42.297869	0		0		4346
62	1510	6	18	3	1	3	0	0	1	0	0	12	0	0	0	0	0	0	0	0	4349	0	0		2	3	0	2	0	1	chelsea watson	-1	0	1	1	0	0	2020-05-25 01:45:15.265182	0		0		4346
63	1510	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4306	0	0		0	0	0	0	0	0	Aidan OBrien	-1	0	1	0	0	0	2020-05-25 01:46:24.971271	0		0		4346
64	1510	7	13	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	4466	0	0		1	1	0	0	0	2	Julian Ricciuti	-1	0	1	0	0	0	2020-05-25 01:49:41.690681	0	Did a whole lot of nothing	0		4346
65	1510	7	9	3	1	0	0	0	1	0	0	5	2	0	0	0	0	0	0	0	4411	0	0		1	1	0	1	0	5	Sean A	-1	0	1	0	0	0	2020-05-25 01:49:47.794448	0		0		4346
66	1510	7	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4380	0	1	Didn't move at all. Shameful.	0	0	0	0	0	0	Nick Kerstens	1241	0	1	0	0	1	2020-05-25 01:49:54.430213	0	Barely moved. Really sad.	0		4346
67	1510	7	16	1	1	1	0	0	1	0	0	6	0	0	0	0	0	0	0	0	4307	0	0		1	1	0	0	0	2	Noah Daly	-1	1	1	1	0	0	2020-05-25 01:50:44.652057	0		0		4346
68	1510	7	19	3	1	1	0	0	1	0	0	17	0	0	0	0	0	0	0	1	4471	0	0		2	3	0	3	0	0	Chelsea Watson	-1	0	1	1	0	0	2020-05-25 01:51:38.037471	0		0		4346
69	1510	8	19	3	1	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	4454	0	0		1	1	0	0	0	3	Julian Ricciuti	-1	0	1	1	0	0	2020-05-25 01:56:25.698704	0		0		4346
70	1510	8	6	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4333	0	0		1	0	0	0	0	0	Aidan OBrien	-1	0	1	0	0	0	2020-05-25 01:56:26.059705	0	Disabled	0		4346
71	1510	8	10	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4478	0	0		1	0	0	0	0	0	Sean A	-1	0	1	0	0	0	2020-05-25 01:56:54.607273	0	Mobility issues couldnt drive	0		4346
72	1510	8	15	3	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	4328	0	0		1	1	0	1	0	1	Noah Daly	-1	1	1	0	0	0	2020-05-25 01:57:06.979040	0	sirius intake trouble	0		4346
73	1510	8	14	3	1	0	3	0	1	0	0	0	0	0	0	0	0	2	0	4	4345	0	1	drive forward and dump 	1	0	0	3	0	0	Nick Kerstens	7690	0	1	0	0	1	2020-05-25 01:57:10.579774	0	Very meh line defense	0		4346
74	1510	8	10	3	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4346	0	0		0	0	0	1	0	11	chelsea watson	-1	0	1	0	0	0	2020-05-25 01:57:26.025651	0		0		4346
75	1510	9	20	3	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4322	0	0		1	1	0	0	0	9	Julian Ricciuti	-1	0	1	0	0	0	2020-05-25 02:02:39.591353	0	didnt even park in endgame couldnt tell if they were disabled	0		4346
76	1510	9	12	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4475	0	2		1	0	0	0	0	0	Sean A	5024	0	1	0	0	1	2020-05-25 02:02:45.060818	0		0		4346
77	1510	9	14	3	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4378	0	0	Moved out of the way of partner	1	1	0	2	0	6	Nick Kerstens	-1	2	1	0	0	0	2020-05-25 02:02:46.275616	0	small intake, indexer jam	0		4346
78	1510	9	0	0	1	1	0	0	1	0	0	10	0	0	0	0	0	0	0	3	4309	0	0		2	1	0	3	0	0	Aidan OBrien	-1	0	1	1	0	0	2020-05-25 02:03:05.495473	0		0		4346
79	1510	9	11	3	1	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	4449	0	1		1	1	0	1	0	1	chelsea watson	6878	0	1	0	0	1	2020-05-25 02:03:09.322517	0	seem to have trouble intaking	0		4346
80	1510	9	2	3	1	3	0	0	1	0	0	9	0	0	0	0	0	0	0	4	4334	0	0	.	0	0	0	3	0	1	Noah Daly	-1	0	1	1	0	0	2020-05-25 02:04:33.123023	0	.	0		4346
81	1510	10	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4380	0	0		0	0	0	0	0	0	Julian Ricciuti	-1	0	1	0	0	0	2020-05-25 02:09:32.706347	0	Disabled	0		4346
82	1510	10	3	3	1	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	4320	0	2		1	0	0	0	0	0	Sean A	5031	0	1	0	0	1	2020-05-25 02:09:37.828772	0		0		4346
83	1510	10	14	3	1	3	0	0	1	0	0	8	0	1	0	0	0	0	0	0	4488	0	0		1	1	0	2	0	7	Aidan OBrien	-1	0	1	0	0	0	2020-05-25 02:09:47.653248	0		0		4346
84	1510	10	11	0	1	0	0	0	1	0	0	7	0	0	0	0	0	0	0	1	4346	0	0	Didn't move	1	3	0	1	0	5	this team dodo	-1	0	1	1	0	0	2020-05-25 02:10:03.447417	0	Fine	0		4346
85	1510	10	14	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4379	0	0	drive forward and missed 	1	1	0	0	0	1	Nick Kerstens	-1	1	1	0	0	0	2020-05-25 02:10:12.078793	0	Bumbled around the entire match	0		4346
86	1510	10	19	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4454	0	2		1	1	0	1	0	2	chelsea watson	-1	2	1	0	0	0	2020-05-25 02:10:26.902867	0		0		4346
87	1510	11	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4478	0	0	Did not move	0	0	0	0	0	0	Nick Kerstens	-1	0	1	0	0	0	2020-05-25 18:35:32.749678	0	Enabled for the match but did not move at all. 	0		4346
88	1510	11	10	3	1	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	4449	0	0	Drove forward and hit alliance station wall	1	1	0	0	0	4	Nick Kerstens	-1	1	1	0	0	0	2020-05-25 18:40:17.704237	0	Intake slow, would run over balls when trying to intake	0		4346
89	1510	11	19	3	1	2	0	0	1	0	0	7	0	0	0	0	0	0	0	3	4349	0	1	cleaned trench run but missed shots, could be good 	0	1	0	3	0	2	Nick Kerstens	-1	1	1	1	0	0	2020-05-25 18:44:36.835009	0	Bumbling around midway through the match. I think they couldn't get past the defense	0		4346
90	1510	11	18	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	4353	0	1	Moved backward and that's it	1	1	0	0	0	1	Nick Kerstens	6878	0	1	0	0	1	2020-05-25 18:48:24.918720	0	Indexer Jammed and got stuck on balls 	0		4346
91	1510	11	14	3	1	0	0	0	1	0	0	5	0	0	0	0	0	2	0	2	4405	0	0	Moved backward off line, that's it 	1	0	0	2	0	1	Nick Kerstens	4519	0	1	0	0	1	2020-05-25 18:51:36.739031	0	Intake arm stuck for most of the match 	0		4346
92	1510	11	2	3	1	0	0	0	1	0	0	0	0	0	0	0	2	2	1	4	4309	0	1	Good route but didn't shoot, climb arm came up	2	1	0	2	0	7	Nick Kerstens	6878	0	1	0	0	1	2020-05-25 18:55:03.467542	0	Climbing arm came up and blocked the shooter. Hit opposing robot in endgame	0		4346
93	1510	12	9	3	1	2	0	0	1	0	0	11	0	0	0	0	0	0	0	0	4411	0	0	Fine	1	1	0	1	0	4	Nick Kerstens	-1	0	1	0	0	0	2020-05-25 18:59:12.639191	0	Only good cycler on alliance	0		4346
94	1510	12	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4333	0	0	moved really slow	1	0	0	0	0	0	Nick Kerstens	-1	0	1	0	0	0	2020-05-25 19:19:38.590003	0	Turned off after contact or going over bumps	0		4346
95	1510	12	14	3	1	0	3	0	1	0	0	0	5	0	0	0	0	0	0	4	4295	0	0	drove forward, dumped and moved back 	1	0	0	3	0	5	Nick Kerstens	-1	0	1	0	0	0	2020-05-25 19:36:29.073727	0	Depth perception is hard. Dumped a full load of balls 2 feet from the goal 	0		4346
96	1510	12	14	3	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	3	4328	0	0	shot and drove backwards. its fine	1	1	0	3	0	5	Nick Kerstens	-1	0	1	0	0	0	2020-05-25 19:40:47.578372	0	Couldn't intake well. 	0		4346
97	1510	12	7	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4489	0	0	Drove off line 	1	1	0	0	0	2	Nick Kerstens	-1	0	1	0	0	0	2020-05-25 19:46:10.090057	0	Repeatedly turned on and off 	0		4346
98	1510	12	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4334	0	0	Did not move	0	1	0	1	0	0	Nick Kerstens	-1	0	1	0	0	0	2020-05-25 19:53:04.609502	0	Drove around in circles and did nothing	0		4346
99	1510	13	6	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4453	0	0	Drove in circles, but technically passed the initiation line 	1	1	0	0	0	0	Nick Kerstens	-1	0	1	0	0	0	2020-05-25 19:55:49.409928	0	Hit DS wall so hard they turned off. 	0		4346
100	1510	13	14	3	1	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	4307	0	0	Looks like route messed up when going to clean the trench run	2	1	0	0	0	4	Nick Kerstens	-1	0	1	0	0	0	2020-05-25 19:59:24.198350	0	Looked like drivers didn't know what they were doing. 	0		4346
101	1510	13	12	3	1	0	3	0	1	0	0	0	0	0	0	0	0	2	1	2	4345	0	1	Route vacates area for other robots -- good route. Died for a few seconds after auto	0	1	0	3	0	0	Nick Kerstens	5024	0	1	0	0	1	2020-05-25 20:02:15.580295	0	Okay-ish line defense. Not much esle to write home about	0		4346
102	1510	13	9	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4379	0	0	Drove forward, that's it. 	1	0	0	1	0	0	Nick Kerstens	4308	0	1	0	0	1	2020-05-25 20:05:07.422625	0	Could barely drive in a straight line, got in the way of alliance partner during climb	0		4346
103	1510	13	19	3	1	3	0	0	1	0	0	4	0	0	0	0	0	0	0	2	4378	0	0	Cleaned trench run but didn't shoot any additional balls 	2	0	0	3	0	8	Nick Kerstens	-1	0	1	1	0	0	2020-05-25 20:09:12.515499	0	5031 got in the way of climb. Can't hold 5 balls well	0		4346
104	1510	13	14	3	1	3	0	0	1	0	0	7	0	2	0	0	0	0	0	0	4488	0	0	Shot and moved backwards. vacated spot for other robots	1	1	0	1	0	3	Nick Kerstens	-1	2	1	0	0	0	2020-05-25 20:12:50.327105	0	5024 prevented climb by climbing too early, bar was out of reach	0		4346
105	1510	14	14	0	1	0	0	0	1	0	0	8	0	1	0	0	0	0	0	1	4335	0	0	Tried to shoot but there was no preload 	1	1	0	3	0	8	Nick Kerstens	-1	0	1	0	0	0	2020-05-25 20:19:56.454370	0	Missed just under a lot. Drove around like a maniac. Why no preload?	0		4346
106	1510	14	12	3	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	4	4466	0	0	Drove forward and that's about it. 	0	1	0	3	0	7	Nick Kerstens	-1	0	1	1	0	0	2020-05-25 20:26:08.784316	0	Pretty decent if shooter improves 	0		4346
107	1510	14	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4475	0	1	Drove forward. 	1	0	0	0	0	0	Nick Kerstens	7558	0	1	0	0	1	2020-05-25 20:29:39.430830	0	Cannot push at ALL 	0		4346
108	1510	14	1	3	1	4	0	0	1	0	0	4	0	2	0	0	0	0	0	0	4306	0	0	Ran into 7558	2	1	0	0	0	4	Nick Kerstens	-1	1	1	0	0	0	2020-05-25 20:35:13.795445	0	Drove like they didn't know what they were doing.	0		4346
109	1510	14	14	3	1	3	0	0	1	0	0	10	0	3	0	0	0	0	0	4	4471	0	0	When they drove back they got in 1114's way	1	3	0	2	0	1	Nick Kerstens	-1	2	1	1	0	0	2020-05-25 20:40:08.813932	0	Climber unhooked from bar during attempt	0		4346
110	1510	14	19	3	1	0	0	0	1	0	0	2	0	1	0	0	0	2	0	2	4322	0	2	balls kept popping out of their intake while going through trench run 	1	0	0	2	0	2	Nick Kerstens	7623	0	1	0	0	1	2020-05-25 20:44:27.119210	0		0		4346
112	1510	15	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	4320	0	1	Moved off line, that's it. 	1	0	0	0	0	0	Nick Kerstens	4343	0	1	0	0	1	2020-05-26 16:18:57.287792	0	Played decent line defense but couldn't push 	0		4346
113	1510	15	14	3	1	3	0	0	1	0	0	7	0	0	0	0	0	0	0	4	4307	0	0	Picked up additional balls but didn't shoot them	2	1	0	3	0	3	Nick Kerstens	-1	0	1	0	0	0	2020-05-26 16:23:23.063769	0	Had a difficult time I taking and indexing balls	0		4346
114	1510	15	12	3	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	2	4405	0	0	Wasn't aligned to shoot	1	1	0	3	0	4	Nick Kerstens	-1	0	1	0	0	0	2020-05-26 16:26:35.280603	0	Had alignment issues	0		4346
115	1510	15	17	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4346	0	2	Turret moved but nothing happened 	0	1	0	1	0	0	Nick Kerstens	2198	2	1	0	0	1	2020-05-26 16:32:47.664011	0	Had turret issues, played counter defense against 2198	0		4346
